sessionId,timestamp,username,label,combinedScore,ambientScore,captchaScore,deviceOs,deviceBrowser,screenResolution,devicePixelRatio,networkLatencyMs,straightnessMean,straightnessStd,dirEntropyMean,dirEntropyStd,velCvMean,velCvStd,velStdMean,accelStdMean,preDwellMean,preDwellStd,reactionMsMean,overshootMean,idleBurstMean,trajPointsMean,arcLengthMean,flags
"c23a6dbe-3cef-4175-ad89-e432461e8c6c","2026-04-14T04:17:54.239Z","Andy_Anirlen","human",10,0,15,"Windows","Firefox","1536x864",1.25,578,0.68753,0.4156,1.31609,0.96952,0.69358,0.20258,0.27632,0.20563,224.66667,52.46798,169.33333,0.66667,0,18.66667,101.28236,"insufficient_data"
"d409b7ec-e911-403e-8653-001812c46c87","2026-04-14T04:18:05.087Z","Andy_Anirlen","human",13,0,20,"Windows","Firefox","1536x864",1.25,585,0.65711,0.04201,1.61652,0.33698,0.76242,0.23529,0.35285,0.28149,315.66667,180.0321,163.66667,0,0,22.33333,157.40657,"insufficient_data;no_target_overshoot"
"bde7448b-ed0a-4431-b4bb-917565d247b9","2026-04-14T04:18:14.067Z","Andy_Anirlen","human",13,0,20,"Windows","Firefox","1536x864",1.25,622,0.84963,0.07544,1.62693,0.34038,0.94213,0.38361,0.41484,0.29625,217.33333,53.22489,211.66667,0,0,24.33333,176.14982,"insufficient_data;no_target_overshoot"
"511d59f9-e252-4b6e-bcc5-fa8b46fd9278","2026-04-14T04:20:17.702Z","Andy_Anirlen","rat",10,0,15,"Windows","Firefox","1536x864",1.25,640,0.73574,0.15321,1.88778,0.35196,2.69362,0.77273,24.06583,36.34529,341.66667,13.42469,948.66667,0,0,18.66667,141.73816,"insufficient_data;no_target_overshoot"
"7bd1d129-a3e3-42b3-9148-1192d022a0f7","2026-04-14T04:20:30.844Z","Andy_Anirlen","rat",10,0,15,"Windows","Firefox","1536x864",1.25,545,0.79541,0.2271,1.41509,0.34554,1.96003,0.5677,4.60528,7.0113,402.66667,80.29252,270,0,0,24,184.06071,"insufficient_data;no_target_overshoot"
"63722fa3-b000-403e-b266-5150999355e6","2026-04-14T04:20:48.744Z","Andy_Anirlen","rat",13,0,20,"Windows","Firefox","1536x864",1.25,669,0.57687,0.16886,2.17402,0.11039,3.24958,1.23928,13.42495,19.81296,895.33333,227.23018,129.33333,0,0,29.66667,201.78349,"insufficient_data;fast_reaction_time;no_target_overshoot"
"18f828c0-fc79-4fd2-9ab0-9b7696d03330","2026-04-14T04:21:05.027Z","Andy_Anirlen","rat",10,0,15,"Windows","Firefox","1536x864",1.25,600,0.57721,0.17039,2.3031,0.12205,2.07211,0.55487,8.47538,12.80443,447.33333,62.05553,222.33333,0,0,36.66667,223.2104,"insufficient_data;no_target_overshoot"
"85d34251-bc88-4f38-b01d-6fa0766872a8","2026-04-14T04:21:25.604Z","Andy_Anirlen","rat",0,0,0,"Windows","Firefox","1536x864",1.25,632,0.80635,0.21687,1.39576,0.57332,3.68315,0.40993,42.60421,63.29375,496.66667,162.25563,268.33333,0.33333,0,23.33333,183.69438,"insufficient_data"
"19b1f14b-e99f-410d-998e-c65afcbd3d41","2026-04-14T04:21:42.001Z","Andy_Anirlen","rat",3,0,5,"Windows","Firefox","1536x864",1.25,571,0.70838,0.34932,1.71569,0.80505,1.60185,0.71819,2.51627,3.93467,474.66667,112.33976,130,0.33333,0,21.33333,163.77727,"insufficient_data;fast_reaction_time"
"5a09600b-68c7-4baa-80a6-eb4c4636b74f","2026-04-14T04:21:56.848Z","Andy_Anirlen","rat",7,0,10,"Windows","Firefox","1536x864",1.25,524,0.89166,0.07369,1.61377,0.51242,2.2267,0.62198,9.79684,14.92167,740,252.40576,230.33333,0.33333,0,19.33333,131.69727,"insufficient_data"
"c00cc7c8-8730-4a3c-b183-41f72842233e","2026-04-14T04:22:16.584Z","Andy_Anirlen","rat",0,0,0,"Windows","Firefox","1536x864",1.25,726,0.49463,0.31868,1.99876,0.5735,2.74895,0.94262,11.34093,16.41662,784,177.74326,264,0.33333,0,34.33333,309.74122,"insufficient_data"
"a5d251db-0fbc-406b-aa70-78e21117b39f","2026-04-14T04:22:37.357Z","Andy_Anirlen","rat",0,0,0,"Windows","Firefox","1536x864",1.25,696,0.38061,0.25061,2.12146,0.36746,2.66684,0.23496,4.74461,7.08404,698.33333,109.30182,331,0.33333,0,43.66667,282.40659,"insufficient_data"
"67683647-7338-43e5-92d5-319e59b0c4ec","2026-04-14T04:22:55.619Z","Andy_Anirlen","rat",10,0,15,"Windows","Firefox","1536x864",1.25,726,0.61764,0.11587,2.13396,0.37958,3.41664,0.81013,22.2025,32.62189,687,249.49683,234,0,0,38.66667,205.78183,"insufficient_data;no_target_overshoot"
